amount,createdate,hs_lastmodifieddate,hs_object_id,hs_product_id,quantity
550.00,2024-03-06T18:48:46.199Z,2024-03-06T18:48:51.502Z,8531867154,2670780714,1
1100.00,2024-03-06T18:48:46.199Z,2024-03-06T18:48:51.502Z,8531867155,2670790411,20
280.00,2024-03-06T18:48:46.199Z,2024-03-06T18:48:51.502Z,8531867156,2655730945,1
75.00,2024-03-06T18:48:46.199Z,2024-03-06T18:48:51.502Z,8531867157,2655637663,3
50.00,2024-03-06T18:48:46.199Z,2024-03-06T18:48:51.502Z,8531867158,2670594363,1
75.00,2024-03-06T18:48:46.199Z,2024-03-06T18:49:41.106Z,8531867296,2655637663,3
280.00,2024-03-06T18:48:46.199Z,2024-03-06T18:49:41.106Z,8531867297,2655730945,1
550.00,2024-03-06T18:48:46.199Z,2024-03-06T18:49:41.106Z,8531867298,2670780714,1
50.00,2024-03-06T18:48:46.199Z,2024-03-06T18:49:41.106Z,8531867299,2670594363,1
1100.00,2024-03-06T18:48:46.199Z,2024-03-06T18:49:41.106Z,8531867300,2670790411,20
3500.00,2024-03-07T19:04:47.304Z,2024-03-07T19:04:47.304Z,8545293574,2670780807,1
