id,name,create_date,sent_date,subscription_name,sent,open,delivered,bounce,unsubscribed,click,reply,dropped,selected,spamreport,suppressed,hardbounced,softbounced,pending,contactslost,notsent
144822813780,Mail 2: Invitación Webinar Partners noviembre 2023,2023-11-09,2023-11-16,Nada,122,47.0,118.0,4.0,0.0,13.0,0.0,33.0,248.0,0.0,93.0,0.0,4.0,0.0,0.0,126.0
145524424254,Invitación Cata de Vinos 22 Noviembre Salud Bogotá,2023-11-14,2023-11-14,Marketing Information,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145520379275,Invitación Cata de Vinos 22 Noviembre Salud Bogotá,2023-11-14,2023-11-14,Marketing Information,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145501581389,Invitación Cata de Vinos 22 Noviembre Salud Bogotá,2023-11-14,2023-11-14,Marketing Information,20,5.0,20.0,0.0,0.0,0.0,0.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
145478553122,Invitación Cata de Vinos 22 Noviembre Salud Bogotá,2023-11-14,2023-11-14,Marketing Information,21,7.0,20.0,1.0,0.0,1.0,0.0,2.0,23.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
144810177902,Mail 1: Invitación Webinar Partners noviembre 2023,2023-11-09,2023-11-13,Nada,127,48.0,120.0,7.0,0.0,10.0,0.0,30.0,248.0,0.0,91.0,3.0,4.0,0.0,3.0,121.0
144823710988,Mail Confirmación de registro Webinar Partners noviembre 2023,2023-11-09,2023-11-09,Nada,24,16.0,24.0,0.0,0.0,10.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
144595212875,Invitación Tempetié 15 Noviembre Argentina Banca,2023-11-08,2023-11-08,Marketing Information,16,12.0,16.0,0.0,0.0,10.0,1.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
144527921682,Invitación Evento Banca Brasil 9 de nov (Clon),2023-11-08,2023-11-08,Marketing Information,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144379110562,Invitación Evento Banca Brasil 9 de nov,2023-11-07,2023-11-07,Marketing Information,7,2.0,6.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
